MonitorID	TrueValue	CSObs	ErrorType	CSEindex	Community
4	3	3	0	200	0
4	3	3	0	201	0
4	15	15	0	202	0
4	0	0	0	203	0
4	2	2	0	204	0
4	1	1	0	205	0
4	2	2	0	206	0
4	0	0	0	207	0
4	0	0	0	208	0
4	3	3	0	209	0
4	0	0	0	210	0
4	3	3	0	211	0
4	40	40	0	212	0
4	16	16	0	213	0
4	19	19	0	214	0
4	0	0	0	215	0
4	8	8	0	216	0
4	0	0	0	217	0
4	16	16	0	218	0
4	6	6	0	219	0
7	54	54	0	220	0
7	38	38	0	221	0
7	31	31	0	222	0
7	10	10	0	223	0
7	18	18	0	224	0
7	6	6	0	225	0
7	31	31	0	226	0
7	12	12	0	227	0
7	61	61	0	228	0
7	26	26	0	229	0
7	27	27	0	230	0
7	39	39	0	231	0
7	7	7	0	232	0
7	79	79	0	233	0
7	15	15	0	234	0
7	5	5	0	235	0
7	47	47	0	236	0
7	24	24	0	237	0
7	13	13	0	238	0
7	47	47	0	239	0
7	29	29	0	240	0
7	0	0	0	241	0
7	32	32	0	242	0
7	20	20	0	243	0
7	8	8	0	244	0
7	11	11	0	245	0
7	46	46	0	246	0
7	72	72	0	247	0
7	13	13	0	248	0
7	0	0	0	249	0
7	8	8	0	250	0
7	21	21	0	251	0
7	11	11	0	252	0
7	33	33	0	253	0
7	35	35	0	254	0
7	65	65	0	255	0
7	19	19	0	256	0
7	145	145	0	257	0
7	0	0	0	258	0
7	24	24	0	259	0
7	59	59	0	260	0
7	30	30	0	261	0
7	148	148	0	262	0
7	7	7	0	263	0
7	29	29	0	264	0
10	9	9	0	265	0
10	78	78	0	266	0
10	20	23	2	267	0
10	27	29	2	268	0
10	26	26	0	269	0
10	0	0	0	270	0
10	18	18	0	271	0
10	0	0	0	272	0
10	18	18	0	273	0
10	0	0	0	274	0
10	17	17	0	275	0
10	11	11	0	276	0
10	0	0	0	277	0
10	0	0	0	278	0
10	0	0	0	279	0
10	27	27	0	280	0
10	7	7	0	281	0
10	0	0	0	282	0
10	5	5	0	283	0
10	0	0	0	284	0
10	0	0	0	285	0
10	0	0	0	286	0
10	47	47	0	287	0
10	29	29	0	288	0
10	4	4	0	289	0
10	0	0	0	290	0
10	20	23	2	291	0
10	43	43	0	292	0
10	19	19	0	293	0
10	0	0	0	294	0
10	0	0	0	295	0
10	0	0	0	296	0
10	0	0	0	297	0
10	0	0	0	298	0
10	6	6	0	299	0
10	28	31	2	300	0
10	0	0	0	301	0
10	0	0	0	302	0
10	3	3	0	303	0
10	0	0	0	304	0
10	15	15	0	305	0
10	56	56	0	306	0
10	5	5	0	307	0
10	0	0	0	308	0
10	0	0	0	309	0
10	0	0	0	310	0
10	0	0	0	311	0
10	0	0	0	312	0
10	11	13	2	313	0
10	0	0	0	314	0
10	0	0	0	315	0
10	0	0	0	316	0
10	10	10	0	317	0
10	0	0	0	318	0
10	12	12	0	319	0
10	22	22	0	320	0
10	0	0	0	321	0
10	63	65	2	322	0
10	17	17	0	323	0
10	0	0	0	324	0
10	2	2	0	325	0
10	24	24	0	326	0
10	9	11	2	327	0
10	15	15	0	328	0
10	7	7	0	329	0
10	0	0	0	330	0
10	0	0	0	331	0
10	8	8	0	332	0
10	0	0	0	333	0
10	0	0	0	334	0
10	46	46	0	335	0
10	0	0	0	336	0
10	8	8	0	337	0
10	0	0	0	338	0
10	0	0	0	339	0
10	0	0	0	340	0
10	0	0	0	341	0
10	7	7	0	342	0
10	0	0	0	343	0
10	0	0	0	344	0
10	27	29	2	345	0
10	26	26	0	346	0
10	0	0	0	347	0
10	8	8	0	348	0
10	7	9	2	349	0
10	0	0	0	350	0
10	0	0	0	351	0
10	0	0	0	352	0
10	0	0	0	353	0
10	0	0	0	354	0
10	0	0	0	355	0
10	9	9	0	356	0
10	11	11	0	357	0
10	42	42	0	358	0
10	0	0	0	359	0
10	0	0	0	360	0
10	0	0	0	361	0
10	0	0	0	362	0
10	10	10	0	363	0
10	0	0	0	364	0
10	0	0	0	365	0
10	77	77	0	366	0
10	15	17	2	367	0
10	14	14	0	368	0
10	0	0	0	369	0
12	18	21	2	370	0
12	37	37	0	371	0
12	5	5	0	372	0
12	10	13	2	373	0
12	0	0	0	374	0
12	154	154	0	375	0
12	0	0	0	376	0
12	8	8	0	377	0
12	0	0	0	378	0
12	197	197	0	379	0
12	115	115	0	380	0
12	12	12	0	381	0
12	138	138	0	382	0
12	49	49	0	383	0
12	0	0	0	384	0
12	19	19	0	385	0
16	0	0	0	386	0
16	0	0	0	387	0
16	3	3	0	388	0
16	0	0	0	389	0
16	7	7	0	390	0
16	5	5	0	391	0
16	0	0	0	392	0
16	8	8	0	393	0
16	23	23	0	394	0
16	0	0	0	395	0
16	0	0	0	396	0
16	4	4	0	397	0
16	0	0	0	398	0
16	0	0	0	399	0
16	0	0	0	400	0
16	0	0	0	401	0
16	25	12	3	402	0
16	0	0	0	403	0
16	20	20	0	404	0
16	0	0	0	405	0
16	3	3	0	406	0
16	7	7	0	407	0
16	0	0	0	408	0
16	14	14	0	409	0
16	0	0	0	410	0
16	0	0	0	411	0
16	13	13	0	412	0
16	12	12	0	413	0
16	0	0	0	414	0
16	4	4	0	415	0
16	8	8	0	416	0
16	31	31	0	417	0
16	0	0	0	418	0
16	3	3	0	419	0
16	0	0	0	420	0
16	0	0	0	421	0
16	0	0	0	422	0
16	11	11	0	423	0
16	0	0	0	424	0
16	0	0	0	425	0
16	0	0	0	426	0
16	0	0	0	427	0
16	0	0	0	428	0
16	5	5	0	429	0
16	0	0	0	430	0
16	0	0	0	431	0
16	18	8	3	432	0
16	13	13	0	433	0
16	0	0	0	434	0
16	20	20	0	435	0
16	0	0	0	436	0
16	0	0	0	437	0
16	33	33	0	438	0
16	0	0	0	439	0
16	18	18	0	440	0
16	7	7	0	441	0
16	9	9	0	442	0
16	0	0	0	443	0
16	0	0	0	444	0
16	0	0	0	445	0
16	0	0	0	446	0
16	0	0	0	447	0
16	0	0	0	448	0
16	11	11	0	449	0
16	0	0	0	450	0
16	7	7	0	451	0
16	0	0	0	452	0
16	0	0	0	453	0
16	0	0	0	454	0
16	0	0	0	455	0
16	4	4	0	456	0
16	0	0	0	457	0
16	0	0	0	458	0
16	0	0	0	459	0
16	0	0	0	460	0
16	0	0	0	461	0
