MonitorID	TrueValue	CSObs	ErrorType	CSEindex
353	0	0	0	448
353	0	0	0	449
353	0	0	0	450
354	0	0	0	451
354	4	4	0	452
354	10	10	0	453
354	21	21	0	454
354	14	14	0	455
354	0	0	0	456
354	12	12	0	457
354	3	3	0	458
354	10	10	0	459
354	0	0	0	460
358	2	2	0	461
358	68	68	0	462
358	5	5	0	463
358	11	11	0	464
360	41	41	0	465
360	2	2	0	466
360	0	0	0	467
360	6	6	0	468
360	12	12	0	469
360	0	0	0	470
360	0	0	0	471
360	0	0	0	472
360	0	0	0	473
360	0	0	0	474
361	2	2	0	475
362	0	0	0	476
364	0	0	0	477
364	0	0	0	478
364	13	13	0	479
369	2	2	0	480
369	0	0	0	481
369	15	15	0	482
371	2	2	0	483
371	90	94	3	484
371	63	63	0	485
371	17	17	0	486
372	0	0	0	487
372	0	0	0	488
378	33	33	0	489
378	80	80	0	490
378	0	0	0	491
378	90	90	0	492
378	100	100	0	493
378	10	10	0	494
378	80	80	0	495
378	0	0	0	496
379	5	8	2	497
379	0	0	0	498
379	0	0	0	499
380	0	0	0	500
380	41	41	0	501
380	64	64	0	502
381	0	0	0	503
381	0	0	0	504
381	23	23	0	505
381	0	0	0	506
381	3	3	0	507
381	2	2	0	508
381	2	2	0	509
381	20	20	0	510
381	12	12	0	511
382	100	100	0	512
382	4	4	0	513
382	5	5	0	514
382	38	38	0	515
382	36	36	0	516
384	5	5	0	517
384	10	10	0	518
384	2	2	0	519
386	0	0	0	520
390	143.239	4500	4	521
390	18	18	0	522
397	0	0	0	523
397	0	0	0	524
397	0	0	0	525
397	3	3	0	526
